"collection","creator","date","description","format","identifier","language","mediatype","publisher","subject","title"
"wnyc-spinning-on-air,podcasts_mirror","WNYC","2007-08-19T00:00:00Z","Originally from London, songwriter Essie Jain left her home town for New York a few years ago in pursuit of her muse. Having performed traditional Irish music and studied opera and classical cello back home, Essie cleaned her aesthetic slate and has started writing austere, intense, lovely songs in a personal style. Her understated approach is perfect for the radio. Joined by guitarist Patrick Glynn and drummer Jim White, Essie plays piano, guitar and sings her songs in the WNYC Studio, and talks about them with host David Garland. This show first aired February 18, 2007.","Archive BitTorrent,Columbia Peaks,Essentia High GZ,Essentia Low GZ,Item Tile,Metadata,Ogg Vorbis,PNG,Spectrogram,VBR MP3","wnyc-spinning-on-air-08-19-2007","english","audio","","WNYC,Spinning On Air,David Garland","WNYC - Spinning On Air: 08/19/2007 - Essie Jain"
"users","","","","JSON,Metadata","@swapneel_jain","","account","","","@swapneel_jain"
"muthulakshmiacademy,additional_collections,fav-lucke133","Singhi Jain Series","","Muthulakshmi Research Academy Scans, 'Jina Dattakhyaan Duo Series No. 27 - Singhi Jain Series'","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","yapF_jina-dattakhyaan-duo-series-no.-27-singhi-jain-series","san","texts","","Muthulakshmi Research Academy,मुत्तुलक्षमी रिसर्च अकाडेमी,Bombay Scans MRA","Jina Dattakhyaan Duo Series No. 27 Singhi Jain Series"
"digitallibraryindia,JaiGyan","Vasudeva Sharana Agrawala","","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: Bharatiya Jnanpith Delhi Date Accessioned: 9/23/2015 15:52 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.475129","hin","texts","Pandit Sunderlal Sastri Sri Mahaveer Jain Granthmala Kamcha B 21/129 Thakur Wadi Varanasi Utter Pradesh","Literature,Jain Sahitya,C-DAC, Noida,DLI Top-Up","Mahaveer Jain Granthmala Ka Tratiya Pushap"
"metropolitanmuseumofart-gallery","","","","Archive BitTorrent,JPEG,JPEG Thumb,JSON,Metadata","mma_leaf_from_a_kalpa_sutra_jain_book_of_rituals_75119","","image","","Folios,Metropolitan Museum of Art,Gold,Paintings,Ink, opaque watercolor, and gold on paper,India,15th century,Gujarat,Metal,Asia,India (Gujarat),Paper,Watercolors,Ink","Leaf from a Kalpa Sutra (Jain Book of Rituals)"
"metropolitanmuseumofart-gallery","","","","Archive BitTorrent,Item Tile,JPEG,JPEG Thumb,JSON,Metadata","mma_page_from_a_dispersed_kalpa_sutra_jain_book_of_rituals_75018","","image","","Folios,Metropolitan Museum of Art,Gold,Paintings,Ink, opaque watercolor, and gold on paper,India,15th century,Gujarat,Metal,Asia,India (Gujarat),Paper,Watercolors,Ink","Page from a Dispersed Kalpa Sutra (Jain Book of Rituals)"
"","","","Hardik Jain Favorites","Archive BitTorrent,Metadata","fav-hardik_jain","","collection","","favorites","Hardik Jain Favorites"
"tedtalks,culturalandacademicfilms","TED.com","2018-01-01T00:00:00Z","Finding a job used to start with submitting your résumé to a million listings and never hearing back from most of them. But more and more companies are using tech-forward methods to identify candidates. If AI is the future of hiring, what does that mean for you? Technologist Priyanka Jain gives a look at this new hiring landscape.","Archive BitTorrent,Item Tile,MPEG2,MPEG4,Metadata,Ogg Video,Thumbnail","PriyankaJainWWW_2018V","","movies","","Tedtalks,TED,Talks,business,work,personal growth,work-life balance,TED2017,2018","Priyanka Jain: How to make applying for jobs less painful"
"users","","","","JSON,Metadata","@pramod_jain","","account","","","@pramod_jain"
"users","","","","Metadata","@ayushi_jain","","account","","","@ayushi_jain"
"users","","","","JSON,Metadata","@seema_jain","","account","","","@seema_jain"
"opensource_image,community","#jaijinendra #jain #jains #jainreligion #jainism #jaindharm #jaintr #jainemple #djainmahasabha #jaincommunity #mahaveer #jainstavan #jaintirth #india #digamber #jainsamaj","2023-04-17T00:00:00Z","🚩🙏jain-gazette🙏🚩 👉Read more: https://epaper.jaingazette.com/view/61/jain-gazette-17-april-2023-edition","Archive BitTorrent,Item Tile,JPEG,JPEG Thumb,Metadata","img-3_202304","hin","image","","🚩🙏jain-gazette🙏🚩","🚩🙏jain-gazette🙏🚩"
"digitallibraryindia,JaiGyan","Vijay Bhuvan Ratna Surishwar","","Book Source: Digital Library of India Item 2015.324734 dc.contributor.author: Vijay Bhuvan Ratna Surishwar dc.date.accessioned: 2015-08-12T14:29:21Z dc.date.available: 2015-08-12T14:29:21Z dc.date.digitalpublicationdate: 2010/09 dc.identifier.barcode: 99999990001982 dc.identifier.origpath: /data6/upload/0136/141 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/324734 dc.description.scannerno: Banasthali University dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 360 dc.format.mimetype: application/pdf dc.language.iso: Gujarati dc.publisher.digitalrepublisher: Digital Library of India dc.publisher: Bhavnagar, Shri Dada Bhagwan Trust dc.source.library: Prakrit Bharati Academy, Jaipur dc.title: Jain Sorastra Kesri Smarti Vishashank dc.type: Print - Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.324734","guj","texts","","Banasthali","Jain Sorastra Kesri Smarti Vishashank"
"mcmmd,community_media,newsandpublicaffairs","MyMCM","2018-04-03T00:00:00Z","Ashwani Jain, candidate for a Democrat nominee for Montgomery County Council at-large seat in the June 26, 2018 primary election, participated in the January 24 candidate forum hosted by Greater Capital Area Association of Realtors. Jain responded to a question on how to make Montgomery County business friendly. “Jobs - What measures would you propose or support to help change the recent perception that Montgomery County is not business friendly? How would you work to bring more investors, both national and international companies, to provide job opportunities here in the community? And, in particular, how do you address the challenges facing the commercial office market in Montgomery County?” #MoCoVotesMCM","ASR,JPEG Thumb,MP3,Metadata,Ogg Video,PNG,SubRip,Thumbnail,Web Video Text Tracks,h.264,h.264 HD","Ashwani_Jain_Talks_Business_Climate_at_County_Council_At-Large_Candidate_s_Forum","English","movies","","Maryland,Montgomery County,Montgomery County Media,MyMCM,Public Access TV,Community Media,PEG,Youtube,County Council at-large,primary election,primary elections 2018,maryland primary elections 2018,June 26 2018,#MoCoVotesMCM,MyMCMedia,Montgomery Community Media,#mymcmedia,#montgomerycommunitymedia,Montgomery County business climate,business friendly,Ashwani Jain,2018","Ashwani Jain Talks Business Climate at County Council At-Large Candidate’s Forum"
"users","","","","JSON,Metadata","@jain_piyush","","account","","","@jain_piyush"
"metropolitanmuseumofart-gallery","","","","Archive BitTorrent,Item Tile,JPEG,JPEG Thumb,JSON,Metadata","mma_leaf_from_a_kalpa_sutra_jain_book_of_rituals_75134","","image","","Folios,Metropolitan Museum of Art,Gold,Paintings,Ink, opaque watercolor, and gold on paper,India,15th century,Gujarat,Metal,Asia,India (Gujarat),Paper,Watercolors,Ink","Leaf from a Kalpa Sutra (Jain Book of Rituals)"
"users","","","","JSON,Metadata","@vidya_jain","","account","","","@vidya_jain"
"users","","","","JSON,Metadata","@neel_jain","","account","","","@neel_jain"
"users","","","","JSON,Metadata","@prasan_jain","","account","","","@prasan_jain"
"users","","","","JSON,Metadata","@suhas_jain","","account","","","@suhas_jain"
"users","","","","JSON,Metadata","@sunmati_jain","","account","","","@sunmati_jain"
"users","","","","JSON,Metadata","@dhruv_jain","","account","","","@dhruv_jain"
"podcast_todays-leading-women-with-mar_830201866,podcasts","Marie Grace Berg","2015-10-05T00:00:00Z","SARIKA Jain, is a Love Coach for smart, successful women who want it all – career, love, family and personal fulfillment.   Sarika is passionate about the role of self-love, healing and reconnecting with our feminine selves, in order to create deeply connected relationships. One of her superpowers is in helping women heal their hearts and close their ‘Ex Files’, so they can truly be ready for ‘the one’. A ‘go-getter’ woman herself, Sarika left the corporate world to use her business strategy skills to support women where it matters most – in their love lives. She leverages her personal experience, in which she experienced a devastating heartbreak, through which she went through disillusionment and heartache. This led to a spiritual awakening and a profound healing journey. Three months after her breakup - she met her future husband in her meditation group! Known as a word wizard who helps people create Rockstar dating profiles, and a ‘remover of obstacles’ in the way of love, Sarika’s clients describe her as “a relationship sorceress” and “Love Magnet” who can whip up a soulmate in as short a time as a week! Check the infographic show notes, plus her top tips and advice for entrepreneurs and aspiring entrepreneurs at www.TodaysLeadingWomen.com or by clicking here!","Item Image,Item Tile,JSON,Metadata,VBR MP3","podcast_todays-leading-women-with-mar_585-how-to-attract-love-now-w_1000354056839","","audio","","","585: How To Attract Love Now With Sarika Jain"
"opensource","Bharatiya Gyanpith Prakashan","","'Padma Purana Vol-2 Edited By Pannalal Jain 1977 Delhi - Bharatiya Gyanpith Prakashan'","Archive BitTorrent,DjVuTXT,Djvu XML,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR","XAEm_padma-purana-vol-2-edited-by-pannalal-jain-1977-delhi-bharatiya-gyanpith-prakashan","","texts","","Nanaji Deshmukh Library,BJP Headquarters Jammu,BVT,Bhuvan Vani Trust Donations","Padma Purana Vol 2 Edited By Pannalal Jain 1977 Delhi Bharatiya Gyanpith Prakashan"
"users","","","","JSON,Metadata","@soumil_jain","","account","","","@soumil_jain"
"users","","","","JSON,Metadata","@pravaal_jain","","account","","","@pravaal_jain"
"users","","","","JSON,Metadata","@anchit_jain","","account","","","@anchit_jain"
"users","","","","JSON,Metadata","@vanshika_jain","","account","","","@vanshika_jain"
"users","","","","JSON,Metadata","@samriddhi_jain","","account","","","@samriddhi_jain"
"users","","","","JSON,Metadata","@kriti_jain","","account","","","@kriti_jain"
"users","","","","JSON,Metadata","@satish_jain","","account","","","@satish_jain"
"users","","","Organic Insect Repellent - http://theo10.com/","Metadata","@trae_jain","","account","","","@trae_jain"
"users","","","","JSON,Metadata","@vibhor_jain","","account","","","@vibhor_jain"
"users","","","","JSON,Metadata","@parul_jain","","account","","","@parul_jain"
"users","","","","JSON,Metadata","@ruchi_jain","","account","","","@ruchi_jain"
"users","","","","JSON,Metadata","@vishesh_jain","","account","","","@vishesh_jain"
"users","","","","JSON,Metadata","@monalisa_jain","","account","","","@monalisa_jain"
"users","","","","JSON,Metadata","@bhumi_jain","","account","","","@bhumi_jain"
"users","","","","JSON,Metadata","@ankit_jain","","account","","","@ankit_jain"
"opensource","Shri Rudra Kund Bhartai trust","","'Gurukul Kangri Haridwar Collection', 'Prakrut Vidya varsh-12 Ank-3 Edited By Raja Ram Jain 2000 - Shri Rudra Kund Bhartai trust '","Archive BitTorrent,DjVuTXT,Djvu XML,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR","CCYl_prakrut-vidya-varsh-12-ank-3-edited-by-raja-ram-jain-2000-shri-rudra-kund-bhartai-trust","","texts","","Gurukul Kangri Haridwar Collection","Prakrut Vidya Varsh 12 Ank 3 Edited By Raja Ram Jain 2000 Shri Rudra Kund Bhartai Trust"
"users","","","","JSON,Metadata","@nabil_jain","","account","","","@nabil_jain"
"users","","","","JSON,Metadata","@navkar_jain","","account","","","@navkar_jain"
"users","","","Hello, Anushka here. completed MBA. I am a fashion-blogger cum Entrepreneur. I had launched my blogs to nurture my interest in fashion. I had started by styling my own wardrobe and posting pictures online. My hobby became quite a hit with the online audience. Seeing that, I started blogging more. But after a year and a half of doing that I realized fashion is my calling, so I started working for Rangoliindia a high street e-commerce store for the fashionista. Other than my work I love traveling to different places and singing. Meeting new peoples and making new friends are my favorite hobbies. Also, I love to share my experience and knowledge with other entrepreneur and business owners through seminars and events. Visit: https://www.rangoliindia.com/collection/designer-embroidery-sarees","Item Image,Item Tile,Metadata","@anushka_jain","","account","","","@anushka_jain"
"","","","Devanshi Jain Favorites","Archive BitTorrent,JSON,Metadata","fav-devanshi_jain","","collection","","favorites","Devanshi Jain Favorites"
"usfederalcourts,additional_collections","","","This item represents a case in PACER, the U.S. Government's website for federal case data. This information is uploaded quarterly. To see our most recent version please use the source url parameter, linked below. To see the canonical source for this data, please consult PACER directly.","Archive BitTorrent,JSON,Metadata","gov.uscourts.ilnd.362776","eng","texts","","","Professional Solutions Insurance Company v. Jain, M.D."
"users","","","","JSON,Metadata","@nitish_jain","","account","","","@nitish_jain"
"users","","","","JSON,Metadata","@mahi_jain","","account","","","@mahi_jain"
"users","","","","JSON,Metadata","@vismaya_jain","","account","","","@vismaya_jain"
"","","","Manvit Jain Favorites","Archive BitTorrent,JSON,Metadata","fav-manvit_jain","","collection","","favorites","Manvit Jain Favorites"
"users","","","election2019loksabha","Metadata","@resma_jain","","account","","","@resma_jain"
"users","","","","JSON,Metadata","@sejal_jain","","account","","","@sejal_jain"
"","","","jyoti Jain Favorites","Archive BitTorrent,JSON,Metadata","fav-jyoti_jain","","collection","","favorites","jyoti Jain Favorites"
"users","","","","JSON,Metadata","@abhinav_jain","","account","","","@abhinav_jain"
"users","","","","JSON,Metadata","@meenal_jain","","account","","","@meenal_jain"
"users","","","","JSON,Metadata","@shikhar_jain","","account","","","@shikhar_jain"
"users","","","","JSON,Metadata","@luv_jain","","account","","","@luv_jain"
"users,fav-bliss2","","","","JSON,Metadata","@mithun_kumar_jain","","account","","","@mithun_kumar_jain"
"users","","","","JSON,Metadata","@disha_jain","","account","","","@disha_jain"
"users","","","","JSON,Metadata","@jain_anupam","","account","","","@jain_anupam"
"users","","","","Metadata","@shubh_jain","","account","","","@shubh_jain"
"users","","","","JSON,Metadata","@umang_jain","","account","","","@umang_jain"
"users","","","","JSON,Metadata","@prasidth_jain","","account","","","@prasidth_jain"
"users","","","","JSON,Metadata","@nidhi_jain_sg","","account","","","@nidhi_jain_sg"
"users","","","","JSON,Metadata","@anamika_jain","","account","","","@anamika_jain"
"users","","","","JSON,Metadata","@akash_jain","","account","","","@akash_jain"
"users","","","","JSON,Metadata","@osheen_jain","","account","","","@osheen_jain"
"users","","","","JSON,Metadata","@saurav_jain","","account","","","@saurav_jain"
"users","","","","JSON,Metadata","@sonia_jain","","account","","","@sonia_jain"
"users","","","","JSON,Metadata","@mansa_jain","","account","","","@mansa_jain"
"users","","","","JSON,Metadata","@aarush_jain","","account","","","@aarush_jain"
"users","","","","JSON,Metadata","@akhil_jain","","account","","","@akhil_jain"
"users","","","","JSON,Metadata","@samkit_jain","","account","","","@samkit_jain"
"users","","","","JSON,Metadata","@kajal_jain","","account","","","@kajal_jain"
"users","","","","JSON,Metadata","@sushil_jain","","account","","","@sushil_jain"
"podcasts_mirror_bobarchives,podcasts_mirror","parth","2019-03-20T00:00:00Z","Tera Ghata (Remix) - DJ ChetasDownload :: mp3virus.in/rr0i","Archive BitTorrent,Columbia Peaks,Item Tile,Metadata,PNG,Spectrogram,VBR MP3","rivc3iwirbi3qqfwgze7idekh8mkiprigznxr4av","","audio","","Podcast","Mere Mehboob Qayamat Hogi (Reprise) - Abhay jain"
"users","","","","JSON,Metadata","@trupthi_jain","","account","","","@trupthi_jain"
"users","","","","JSON,Metadata","@shradha_jain","","account","","","@shradha_jain"
"users","","","","JSON,Metadata","@dr_somit_jain","","account","","","@dr_somit_jain"
"users","","","","JSON,Metadata","@charul_jain","","account","","","@charul_jain"
"users","","","","JSON,Metadata","@vanisha_jain","","account","","","@vanisha_jain"
"users","","","","JSON,Metadata","@anuj_jain","","account","","","@anuj_jain"
"users","","","","JSON,Metadata","@anmol_jain","","account","","","@anmol_jain"
"users","","","","JSON,Metadata","@siddhanth_arvind_jain","","account","","","@siddhanth_arvind_jain"
"users","","","","Metadata,Web Archive JSON","@sumat_jain","","account","","","@sumat_jain"
"users","","","","JSON,Metadata","@pratishtha_jain","","account","","","@pratishtha_jain"
"users","","","","JSON,Metadata","@mahendra_jain","","account","","","@mahendra_jain"
"users","","","","JSON,Metadata","@aryan_jain","","account","","","@aryan_jain"
"","","","Riyo Jain Favorites","Archive BitTorrent,JSON,Metadata","fav-riyo_jain","","collection","","favorites","Riyo Jain Favorites"
"podcast_audiohelicase_1301603428,podcasts","AudioHelicase","2019-02-19T00:00:00Z","In this episode of AudioHelicase, Whitehead Institute Member Ankur Jain discusses how RNA can clump in cells and the diseases, such as Huntington’s and amyotrophic lateral sclerosis (ALS), that are associated with these aggregations.","Item Image,Item Tile,JSON,Metadata,VBR MP3","podcast_audiohelicase_whitehead-institutes-ankur-ja_1000430218942","","audio","","","Whitehead Institute’s Ankur Jain on RNA clumps and the neurodegenerative diseases they are associated with"
"podcast_wellness-revolution_1352864219,podcasts","Tommy Lockward","2018-12-22T00:00:00Z","Health and wellness will be demystified in this episode, as Subahh and  I embark on an thoughtful conversation about fasting, plant-based living and curing illnesses without chemical medicines, rather with nature derived solutions to modern day problems. Subahh is a health educator and is the creator of a successful youtube channel with over 100K subscribers on healthy living!","Item Image,Item Tile,JSON,Metadata,VBR MP3","podcast_wellness-revolution_return-back-to-nature-with-s_1000426352440","","audio","","","""Return Back To Nature"" with special guest Subahh Jain"
"users","","","","JSON,Metadata","@meetushi_jain","","account","","","@meetushi_jain"
"users","","","","JSON,Metadata","@asmita_jain","","account","","","@asmita_jain"
"","","","Manika Jain Favorites","Archive BitTorrent,JSON,Metadata","fav-manika_jain","","collection","","favorites","Manika Jain Favorites"
"users","","","","Metadata","@manish_jain_luhadia","","account","","","@manish_jain_luhadia"
"users","","","","JSON,Metadata","@ritik_jain","","account","","","@ritik_jain"
"users","","","","JSON,Metadata","@pradeep_jain","","account","","","@pradeep_jain"
"users","","","","JSON,Metadata","@shravali_jain","","account","","","@shravali_jain"
"users","","","","JSON,Metadata","@arun_jain","","account","","","@arun_jain"
"users","","","","JSON,Metadata","@yavya_jain","","account","","","@yavya_jain"
"users","","","","JSON,Metadata","@vinit_jain","","account","","","@vinit_jain"
"users","","","","JSON,Metadata","@aashima_jain","","account","","","@aashima_jain"
"users","","","","JSON,Metadata","@abhilasha_jain","","account","","","@abhilasha_jain"
"users","","","","JSON,Metadata","@namrata_jain","","account","","","@namrata_jain"
"users","","","","JSON,Metadata","@tanvi_jain","","account","","","@tanvi_jain"
"users","","","","JSON,Metadata","@jayesh_jain","","account","","","@jayesh_jain"
"users","","","","JSON,Metadata","@pranay_jain","","account","","","@pranay_jain"
"users","","","","JSON,Metadata","@arjun_jain_16","","account","","","@arjun_jain_16"
"users","","","","JSON,Metadata","@arjun_jain","","account","","","@arjun_jain"
"users","","","","JSON,Metadata","@aditi_jain_002","","account","","","@aditi_jain_002"
"users","","","","Item Image,Item Tile,Metadata","@jay_kumar_jain","","account","","","@jay_kumar_jain"
"opensource_image,community","#jain #jainreligion #jainism #jaindharm #jaintr #jaintemple #djainmahasabha #jaincommunity","2022-11-23T00:00:00Z","प्रख्यात समाजसेवी मुनिभक्त देव शास्त्र गुरु के प्रति आस्थावान, साधर्मियों का आर्थिक सहयोग आगे से आगे बढ़कर करना, जैन समाज के उत्थान में अपना अतुलनीय योगदा एवं चातुर्मास कलश स्थापक, दानवीर अनेक संस्थाओं के पदाधिकारी श्री दिगम्बर जैन मन्दिर एवं अनेक संस्थाओं का संचालन श्री सुंदरलाल डगरिया जैन उदयपुर (राजस्थान) श्री भारतवर्षीय दिगम्बर जैन महासभा चेरिटेबल ट्रस्ट के रू. 1,11,111/- का योगदान दे सम्मानित ट्रस्टी बनने पर हार्दिक अभिनंदन हुलासचन्द्र जैन सेठी - चैयरमैन चेरिटेबल ट्रस्ट गजराज जैन गंगवाल प्रकाशचंद जैन बड़जात्या राष्ट्रीय अध्यक्ष राष्ट्रीय महामंत्री","Archive BitTorrent,Item Tile,JPEG,JPEG Thumb,Metadata","20221123_20221123_1040","","image","","श्री सुंदरलाल डगरिया जैन","Shree Sundaralaal Dagariya Jain 2022 11 23"
"users","","","","JSON,Metadata","@jain_vasudevan","","account","","","@jain_vasudevan"
"users","","","","JSON,Metadata","@ankita_jain","","account","","","@ankita_jain"
"users","","","","Item Image,Item Tile,Metadata","@dr_nisha_jain_","","account","","","@dr_nisha_jain_"
"users","","","","Metadata","@hamesh_jain","","account","","","@hamesh_jain"
"users","","","Jain Technosoft is a leading web design company in Bangalore, India , is dedicated towards providing quality IT solutions which can transform businesses across various verticals. Established in 2011, with an aim to serve the web solutions & digital marketing space, we have definitely redefined web services using our Innovation, Expertise, Quality and Ethics. In a short span of time we have become the leaders in website development, SEO services , E-commerce solutions, web and mobile applications, website designing , web hosting, branding and online marketing. Powered by a team of young, dedicated and passionate professionals, Jain Technosoft understands the unique needs of its every customer, and always strives towards customer satisfaction. Having served over thousand clients spanning from Fortune 500 companies to start-ups and mid-sized enterprises, excellence is something which comes naturally to us. We believe in performing business the ethical way and thus compromising on quality has never been our forte. Being passionate about giving attention to details, we provide our clients with realistic estimates, innovative result-oriented solutions and transparent billing system. Leveraging the emerging technologies, we make it a point that our clients get the best services within the specified time frame. For us a satisfied customer is the best advertiser, and this goal of ours has made us the trend-setters in the IT industry. Surpassing client expectations and delivering highest quality solutions is the unwritten rule at Jain Technosoft. We understand that the only way in which we can grow is through the growth of our clients. And our growing client list is testimony of this. Backed with our creative, hardworking, razor-sharp team we have crossed several milestones and are geared towards setting new standards of innovation and creativity. At Jain Technosoft perfection is not a choice but the only option!","Item Image,Item Tile,Metadata","@jain_technosoft","","account","","","@jain_technosoft"
"users","","","","JSON,Metadata","@sadhna_jain","","account","","","@sadhna_jain"
"users","","","","JSON,Metadata","@arnav_jain","","account","","","@arnav_jain"
"opensource","Sahitya Niketan","","'Hindi Ka Ritikalin Alankar Granthom Par Sankrit Ka Prabhav by Kundan Lal Jain 1964 Bareily - Sahitya Niketan'","Archive BitTorrent,DjVuTXT,Djvu XML,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR","Smgh_hindi-ka-ritikalin-alankar-granthom-par-sankrit-ka-prabhav-by-kundan-lal-jain-19","","texts","","SPS,SPS-Srinagar","Hindi Ka Ritikalin Alankar Granthom Par Sankrit Ka Prabhav By Kundan Lal Jain 1964 Bareily Sahitya Niketan"
"opensource,community","","","book by d.jain darsh jain of india","Archive BitTorrent,Metadata,Rich Text Format","suppandi-author-is-d.-jain","eng","texts","","story","SUPPANDI ( AUTHOR IS D. JAIN)"
"","","","Vinodha Jain Favorites","Archive BitTorrent,JSON,Metadata","fav-vinodha_jain","","collection","","favorites","Vinodha Jain Favorites"
"","","","yachiel jain Favorites","Archive BitTorrent,JSON,Metadata","fav-yachiel_jain","","collection","","favorites","yachiel jain Favorites"
"","","","Haritha Jain Favorites","Archive BitTorrent,JSON,Metadata","fav-haritha_jain","","collection","","favorites","Haritha Jain Favorites"
"opensource_image,community","#jaijinendra #jain #jains #jainreligion #jainism #jaindharm #jaintr #jaintemple #djainmahasabha #jaincommunity #mahaveer #jainstavan #jaintirth #india #digamber #jainsamaj","2023-02-20T00:00:00Z","श्री भारतवर्षीय दिगंबर जैन महासभा का Jain Gazette Read more:https://epaper.jaingazette.com/view/53/jain-gazette-20-february-2023-edition","Archive BitTorrent,Item Tile,JPEG Thumb,Metadata,PNG","download_20230220","hin","image","","Jain Gazette","Jain Gazette"
"","","","POONJI JAIN Favorites","Archive BitTorrent,JSON,Metadata","fav-poonji_jain","","collection","","favorites","POONJI JAIN Favorites"
"","","","Swarit Jain Favorites","Archive BitTorrent,JSON,Metadata","fav-swarit_jain","","collection","","favorites","Swarit Jain Favorites"
"digitallibraryindia,JaiGyan","Pramaand-asaagar","1996-01-01T00:00:00Z","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: Bharatiya Gyanpeeth Date Accessioned: 9/23/2015 15:17 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.472725","hin","texts","Shikshhaa Bhaaratii, Kashmiirii Geta, Dillii","RELIGION THEOLOGY,C-DAC, Noida,DLI Top-Up","Jain Dharm Aur Darshan"
"users","","","","JSON,Metadata","@dimple_jain","","account","","","@dimple_jain"
"usfederalcourts,additional_collections","","","This item represents a case in PACER, the U.S. Government's website for federal case data. If you wish to see the entire case, please consult PACER directly.","Archive BitTorrent,Metadata,Text PDF","gov.uscourts.ilsd.93651","eng","texts","","","United States v. Jain"
"podcast_growth-kung-fu-podcast_1161216395,podcasts","GrowthKungFu","2017-01-06T00:00:00Z","500 Startups partner, Pankaj Jain, spoke with Growth Kung Fu about the criteria for a 500 Startups founder, what he’s looking for in the next batch of 500 Startups startups as well as the ‘WhatsApp-ification” of India.","Archive BitTorrent,Item Image,Item Tile,JSON,Metadata,VBR MP3","podcast_growth-kung-fu-podcast_how-to-become-500-startups-f_1000379684528","eng","audio","","","How to become a 500 Startups founder and Indian ecosystem insights (with Pankaj Jain, 500 Startups)"
"podcast_creative-honey_1023960653,podcasts","Creative Honey","2017-06-30T00:00:00Z","Building a brand is more than just having a nice logo. It's about the process of research, discovery and analysis that goes into understanding a business or individual's needs and who they are most trying to target. The end result should be a beautiful visual identity and on-point messaging that lasts well into the future. In this episode we chat with Jain Karan, the CEO & Founder of Magfirst, a Publication Design Agency, and Enamus, a Branding Agency. He shares with us his masterful understanding of Branding & Identity, and how to properly approach the process, delivering information that is illuminating for aspiring Brand Strategists and businesses alike. Check out what Jain's up to: www.magfirst.com www.enamus.com","Apple Lossless Audio,Columbia Peaks,Item Tile,Metadata,Ogg Vorbis,PNG,Spectrogram,VBR MP3","podcast_creative-honey_branding-identity-with-jain_389383574","English","audio","","","Branding & Identity with Jain Karan of Magfirst"
"podcast_tallberg-foundation-podcast_570623609,podcasts","Tällberg Foundation","2012-11-05T00:00:00Z","A Tällberg Forum Conversation on technology hosted by Alexander Crawford, Tällberg Foundation recorded at the Tallberg Forum 2012 with Naveen Jain, Entrepreneur & Philanthropist, USA, Nai-Chang Yeh, Professor of Physics, California Institute of Technology and Per Ödling, Ph.D, Docent, Professor, Lund University, Sweden","Item Image,Item Tile,JSON,Metadata,VBR MP3","podcast_tallberg-foundation-podcast_02-per-dling-naveen-jain_1000123594843","","audio","","","02: Per Ödling, Naveen Jain and Nai-Chang Yeh in a conversation about technology from the Tällberg Forum 2012"
"","","","Skyler Jain Favorites","Archive BitTorrent,JSON,Metadata","fav-skyler_jain","","collection","","favorites","Skyler Jain Favorites"
"users","","","","Metadata,Web Archive JSON","@arisha_jain","","account","","","@arisha_jain"
"usfederalcourts,additional_collections","","","This item represents a case in PACER, the U.S. Government's website for federal case data. This information is uploaded quarterly. To see our most recent version please use the source url parameter, linked below. To see the canonical source for this data, please consult PACER directly.","Archive BitTorrent,JSON,Metadata","gov.uscourts.njb.973075","eng","texts","","","Pramod K Jain - Adversary Proceeding"
"","","","REET JAIN [UHT-GA51] Favorites","Archive BitTorrent,JSON,Metadata","fav-reet_jain_uht-ga51_","","collection","","favorites","REET JAIN [UHT-GA51] Favorites"
"","","","Juhi Jain Favorites","Archive BitTorrent,JSON,Metadata","fav-juhi_jain","","collection","","favorites","Juhi Jain Favorites"
"","","","divyanshi jain Favorites","Archive BitTorrent,JSON,Metadata","fav-divyanshi_jain","","collection","","favorites","divyanshi jain Favorites"
