"collection","creator","date","description","format","identifier","language","mediatype","publisher","subject","title"
"digitallibraryindia,JaiGyan","Jain, Champawati","1934-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.342361 dc.contributor.author: Jain, Champawati dc.date.accessioned: 2015-08-12T21:23:20Z dc.date.available: 2015-08-12T21:23:20Z dc.date.copyright: 1934 dc.date.digitalpublicationdate: 2009/10 dc.date.citation: 1934 dc.identifier.barcode: 99999990235115 dc.identifier.origpath: /data3/upload/0089/346 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/342361 dc.description.scannerno: Banasthali University dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 190 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Champwati Jain Pustakmala Prakashan Vibhag, Ambala dc.rights: Copyright permitted dc.source.library: Central Library, Jain Vishva Bharti University, Ladnun dc.subject.classification: Jain Dharma dc.subject.keywords: Jainism dc.title: Shastrarth Paanipat Bhag Ii dc.title: Kya Jain Tiranthaka Sarvagya The dc.type: Print - Paper dc.type: Book","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.342361","hin","texts","","Banasthali","Kya Jain Tiranthaka Sarvagya The"
"digitallibraryindia,JaiGyan","Jain, Vimal Prakash","1935-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.342383 dc.contributor.author: Jain, Vimal Prakash dc.date.accessioned: 2015-08-12T21:23:24Z dc.date.available: 2015-08-12T21:23:24Z dc.date.copyright: 1935 dc.date.digitalpublicationdate: 2009/09 dc.date.citation: 1935 dc.identifier.barcode: 99999990235137 dc.identifier.origpath: /data3/upload/0089/368 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/342383 dc.description.scannerno: Banasthali University dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 610 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Jain, Vimal Prakash dc.rights: Copyright permitted dc.source.library: Central Library, Jain Vishva Bharti University, Ladnun dc.subject.classification: Jain Dharma dc.subject.keywords: Jainism dc.subject.keywords: Jain Darshan dc.title: Shri Jain Natkiya Ramayan Arthart Sri Padmapuranji Ka Nibode dc.type: Print - Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.342383","hin","texts","","Banasthali","Shri Jain Natkiya Ramayan Arthart Sri Padmapuranji Ka Nibode"
"digitallibraryindia,JaiGyan,fav-chirag_joshi,fav-as_patel,fav-www_jupiter2saturn_com,fav-gaurav_bhatt911","Not Available","1913-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.342297 dc.contributor.author: Not Available dc.date.accessioned: 2015-08-12T21:23:10Z dc.date.available: 2015-08-12T21:23:10Z dc.date.copyright: 1913 dc.date.digitalpublicationdate: 2009/10 dc.date.citation: 1913 dc.identifier.barcode: 99999990235056 dc.identifier.origpath: /data3/upload/0089/287 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/342297 dc.description.scannerno: Banasthali University dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 242 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Satyaprakash Printing Press, Ahmedabad dc.rights: Copyright permitted dc.source.library: Central Library, Jain Vishva Bharti University, Ladnun dc.subject.classification: Jain - Dharma - Sahitya dc.subject.keywords: Jain Jyotish dc.title: Narchandra Jain Jyotish Bhag 1-2 dc.type: Print - Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.342297","hin","texts","","Banasthali","Narchandra Jain Jyotish Bhag 1-2"
"digitallibraryindia,JaiGyan","Not Available","","Book Source: Digital Library of India Item 2015.304411 dc.contributor.author: Not Available dc.date.accessioned: 2015-08-10T12:57:46Z dc.date.available: 2015-08-10T12:57:46Z dc.date.digitalpublicationdate: 2012/10 dc.identifier.barcode: 99999990317403 dc.identifier.origpath: /data14/upload/0008/233 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/304411 dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 496 dc.format.mimetype: application/pdf dc.language.iso: Gujarati dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Mumbai.,jain Siddhant Sabha dc.source.library: Bharatiya Vidya Bhavan Library, Mumbai dc.title: Mul Jain Dharm Ane Falna Sampradayo dc.type: Print - Paper dc.type: Book","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.304411","guj","texts","","Banasthali","Mul Jain Dharm Ane Falna Sampradayo"
"digitallibraryindia,JaiGyan","Digital Library Of India","1934-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.427778 dc.date.accessioned: 2015-09-11T21:42:16Z dc.date.available: 2015-09-11T21:42:16Z dc.date.copyright: 1934 dc.date.digitalpublicationdate: 2009/06/07 dc.date.citation: 1934 dc.identifier.barcode: 99999990048698 dc.identifier.origpath: /data10/data51/upload/0008/075 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/427778 dc.description.scanningcentre: Unknown dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 145 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India dc.rights: Not Available dc.source.library: Vir Seva Mandir Daryaganj dc.title: Parichin Jain Itihas Vol-iii(2466) dc.type: Print-Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.427778","hin","texts","","Other","Parichin Jain Itihas Vol-iii(2466)"
"digitallibraryindia,JaiGyan","Digital Library Of India cdac Noida","1937-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.441120 dc.date.accessioned: 2015-09-16T13:14:40Z dc.date.available: 2015-09-16T13:14:40Z dc.date.copyright: 1937 dc.date.digitalpublicationdate: 2010/07/21 dc.date.citation: 1937 dc.identifier.barcode: 99999990034518 dc.identifier.origpath: /data8/upload/0231/801 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/441120 dc.description.scanningcentre: Veer Sewa Mandir, Dariya Ganj, Delhi dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 23 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India cdac Noida dc.rights: Not Available dc.title: \jain Institutions In Delhi Ac 3574 dc.type: Print-Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.441120","hin","texts","","Other","\jain Institutions In Delhi Ac 3574"
"digitallibraryindia,JaiGyan","Digital Library Of India cdac Noida","1937-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.441172 dc.date.accessioned: 2015-09-16T13:15:24Z dc.date.available: 2015-09-16T13:15:24Z dc.date.copyright: 1937 dc.date.digitalpublicationdate: 2010/07/21 dc.date.citation: 1937 dc.identifier.barcode: 99999990034562 dc.identifier.origpath: /data8/upload/0231/845 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/441172 dc.description.scanningcentre: Veer Sewa Mandir, Dariya Ganj, Delhi dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 65 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India cdac Noida dc.rights: Not Available dc.title: Jain Journal Vol 18 No 3 (jan 1984) Mlj dc.type: Print-Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.441172","hin","texts","","Other","Jain Journal Vol 18 No 3 (jan 1984) Mlj"
"digitallibraryindia,JaiGyan,fav-ambekar_dinesh","Mukhtar ,jugalkishor","","Book Source: Digital Library of India Item 2015.441245 dc.contributor.author: Mukhtar ,jugalkishor dc.date.accessioned: 2015-09-16T13:17:01Z dc.date.available: 2015-09-16T13:17:01Z dc.date.digitalpublicationdate: 2009/09/17 dc.identifier.barcode: 99999990034645 dc.identifier.origpath: /data8/upload/0231/928 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/441245 dc.description.scanningcentre: Veer Sewa Mandir, Dariya Ganj, Delhi dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 752 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India,Cdac Noida dc.rights: Not Available dc.title: Jain Shatya Aur Hitihas Par Vishad Parkash (vol-1)ac3201 dc.type: Print-Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.441245","hin","texts","","Other","Jain Shatya Aur Hitihas Par Vishad Parkash (vol-1)ac3201"
"digitallibraryindia,JaiGyan,fav-lucke133","Digital Library Of India cdac Noida","1937-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.441224 dc.date.accessioned: 2015-09-16T13:16:06Z dc.date.available: 2015-09-16T13:16:06Z dc.date.copyright: 1937 dc.date.digitalpublicationdate: 2010/07/17 dc.date.citation: 1937 dc.identifier.barcode: 99999990034618 dc.identifier.origpath: /data8/upload/0231/901 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/441224 dc.description.scanningcentre: Veer Sewa Mandir, Dariya Ganj, Delhi dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 365 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India cdac Noida dc.rights: Not Available dc.title: Jain Pratima Vigyan (1981) (dr. Marutinandan Tiwari) Mlj 34 dc.type: Print-Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.441224","hin","texts","","Other","Jain Pratima Vigyan (1981) (dr. Marutinandan Tiwari) Mlj 34"
"digitallibraryindia,JaiGyan","Jain, Hiralal","1942-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.441248 dc.contributor.author: Jain, Hiralal dc.date.accessioned: 2015-09-16T13:17:05Z dc.date.available: 2015-09-16T13:17:05Z dc.date.copyright: 1942 dc.date.digitalpublicationdate: 2009/09/15 dc.date.citation: 1942 dc.identifier.barcode: 99999990034657 dc.identifier.origpath: /data8/upload/0231/940 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/441248 dc.description.scanningcentre: Veer Sewa Mandir, Dariya Ganj, Delhi dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 501 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India,Cdac Noida dc.publisher: Ceintral Jain Oriyantal Library dc.rights: Not Available dc.title: Jain Sidhant Bhaskar Ac.2421 dc.type: Print-Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.441248","hin","texts","","Other","Jain Sidhant Bhaskar Ac.2421"
"digitallibraryindia,JaiGyan","Digital Library Of India,Cdac Noida","1721-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.441715 dc.date.accessioned: 2015-09-16T13:28:42Z dc.date.available: 2015-09-16T13:28:42Z dc.date.copyright: 1721 dc.date.digitalpublicationdate: 2009/07/6 dc.date.citation: 1721 dc.identifier.barcode: 99999990033745 dc.identifier.origpath: /data8/upload/0231/028 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/441715 dc.description.scanningcentre: Veer Sewa Mandir, Dariya Ganj, Delhi dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 99 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India,Cdac Noida dc.rights: Not Available dc.title: Bharat Ke Prachin Jain Tirath dc.type: Print-Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.441715","hin","texts","","Other","Bharat Ke Prachin Jain Tirath"
"digitallibraryindia,JaiGyan","Bhat,krishandat","1960-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.441833 dc.contributor.author: Bhat,krishandat dc.date.accessioned: 2015-09-16T13:29:49Z dc.date.available: 2015-09-16T13:29:49Z dc.date.copyright: 1960 dc.date.digitalpublicationdate: 2011/03 dc.date.citation: 1960 dc.identifier.barcode: 99999990043752 dc.identifier.origpath: /data8/upload/0241/035 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/441833 dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 86 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Varanasi,sarav Sev Sangh dc.source.library: Shri Abhaya Jain Granthalaya, Bikaner dc.subject.classification: Devotional dc.title: Jain Dharam Kya Kahata He Bhag 5 dc.type: Print - Paper","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.441833","hin","texts","","Banasthali","Jain Dharam Kya Kahata He Bhag 5"
